"","X","Name","High.Degree","Longitude","Latitude","Applicants","Admissions","Enrolled","SAT.Reading.25","SAT.Reading.75","SAT.Math.25","SAT.Math.75","ACT.25","ACT.75","Percent.Admitted","Tuition","Tuition.Instate","Tuition.Outstate","State","Region","Control","TEnrollment","Percent.Women","Pecent.Instate","Percent.Outstate","Percent.Foreign","GradRate.4yr","Percent.Finan.Aid"
"377",377,"Trine University","Master's degree",-85.005696,41.633389,2867,2052,421,470,570,500,620,21,27,72,28850,45250,45250,"Indiana","Great Lakes","Private not-for-profit",1874,35,58,42,1,33,100
"378",378,"Valparaiso University","Doctor's degree",-87.045853,41.463176,6124,4880,876,500,590,510,620,23,29,80,33480,45860,45860,"Indiana","Great Lakes","Private not-for-profit",3251,52,NA,NA,NA,58,92
"379",379,"Wabash College","Bachelor's degree",-86.905809,40.037799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35650,46660,46660,"Indiana","Great Lakes","Private not-for-profit",902,0,NA,NA,NA,63,95
"380",380,"Briar Cliff University","Doctor's degree",-96.42696,42.526919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26650,38726,38726,"Iowa","Plains","Private not-for-profit",1042,57,43,53,4,40,97
"381",381,"Buena Vista University","Master's degree",-95.208053,42.642529,1409,980,269,NA,NA,NA,NA,20,25,70,29448,40589,40589,"Iowa","Plains","Private not-for-profit",2293,66,74,23,4,43,98
"382",382,"Central College","Bachelor's degree",-92.918664,41.400236,2842,1870,309,470,580,450,620,21,26,66,30700,45151,45151,"Iowa","Plains","Private not-for-profit",1386,53,NA,NA,NA,62,100
"383",383,"Clarke University","Doctor's degree",-90.691512,42.508619,1250,969,181,470,530,475,550,20,25,78,28000,40800,40800,"Iowa","Plains","Private not-for-profit",1011,66,NA,NA,NA,59,99
"384",384,"Coe College","Master's degree",-91.657535,41.986383,2972,1834,390,493,693,495,670,23,28,62,35730,47260,47260,"Iowa","Plains","Private not-for-profit",1419,54,47,53,0,61,100
"385",385,"Cornell College","Bachelor's degree",-91.425435,41.925982,2204,1413,261,520,670,510,650,23,29,64,36430,48905,48905,"Iowa","Plains","Private not-for-profit",1125,55,15,81,3,64,96
"386",386,"Dordt College","Master's degree",-96.166319,43.08396,1355,1022,381,450,610,500,630,21,28,75,26540,38800,38800,"Iowa","Plains","Private not-for-profit",1376,46,35,55,9,54,100
"387",387,"Drake University","Doctor's degree",-93.654062,41.60381,5930,3911,850,530,640,540,680,25,30,66,30889,44349,44349,"Iowa","Plains","Private not-for-profit",3383,56,25,72,0,61,99
"388",388,"University of Dubuque","Doctor's degree",-90.693568,42.498027,1457,1128,447,410,490,390,520,17,22,77,25520,35530,35530,"Iowa","Plains","Private not-for-profit",1694,43,NA,NA,NA,29,94
"389",389,"Graceland University-Lamoni","Doctor's degree",-93.924893,40.615966,1981,994,326,390,520,373,530,18,24,50,23530,35380,35380,"Iowa","Plains","Private not-for-profit",1559,57,21,75,5,30,100
"390",390,"Grand View University","Master's degree",-93.605016,41.620909,807,770,298,380,450,400,480,19,23,95,22628,33616,33616,"Iowa","Plains","Private not-for-profit",2096,58,NA,NA,NA,28,100
"391",391,"Grinnell College","Bachelor's degree",-92.721246,41.747048,3979,1395,423,620,730,630,770,28,32,35,43656,56354,56354,"Iowa","Plains","Private not-for-profit",1721,54,10,74,15,81,90
"392",392,"Iowa State University","Doctor's degree",-93.648353,42.026368,16539,13648,5366,460,620,530,680,22,28,83,7726,18920,31472,"Iowa","Plains","Public",27659,43,58,36,6,38,88
"393",393,"Iowa Wesleyan College","Bachelor's degree",-91.552588,40.973689,1319,793,103,453,468,420,508,19,24,60,25550,38738,38738,"Iowa","Plains","Private not-for-profit",599,64,NA,NA,NA,17,100
"394",394,"University of Iowa","Doctor's degree",-91.535698,41.660695,21642,17363,4460,540,620,620,680,25,28,80,8061,20691,39561,"Iowa","Plains","Public",21974,52,48,41,11,48,83
"395",395,"Loras College","Master's degree",-90.680232,42.504131,1873,1293,414,435,575,393,560,21,26,69,28852,39077,39077,"Iowa","Plains","Private not-for-profit",1554,48,32,68,1,48,100
"396",396,"Luther College","Bachelor's degree",-91.803971,43.313584,3490,2517,628,433,610,500,638,23,29,72,37530,48435,48435,"Iowa","Plains","Private not-for-profit",2466,57,29,65,6,67,100
"397",397,"Maharishi University of Management","Doctor's degree",-91.967306,41.017781,74,31,19,NA,NA,NA,NA,NA,NA,42,26430,38630,38630,"Iowa","Plains","Private not-for-profit",319,46,NA,NA,NA,24,97
"398",398,"Morningside College","Master's degree",-96.360738,42.47324,3721,1986,367,NA,NA,NA,NA,20,25,53,25990,38308,38308,"Iowa","Plains","Private not-for-profit",1305,53,59,41,0,48,100
"399",399,"Mount Mercy University","Master's degree",-91.650991,42.001931,542,371,154,NA,NA,NA,NA,20,23,68,26310,39075,39075,"Iowa","Plains","Private not-for-profit",1476,69,NA,NA,NA,66,85
"400",400,"University of Northern Iowa","Doctor's degree",-92.459703,42.514923,4068,3389,1722,NA,NA,500,640,20,24,83,7685,19880,29376,"Iowa","Plains","Public",10380,57,91,8,1,37,87
"401",401,"Northwestern College","Bachelor's degree",-96.058382,42.998955,1221,929,284,423,605,470,580,21,27,76,26764,39236,39236,"Iowa","Plains","Private not-for-profit",1233,57,NA,NA,NA,53,100
"402",402,"Saint Ambrose University","Doctor's degree",-90.58098,41.540081,2897,2786,562,NA,NA,NA,NA,20,25,96,26740,40146,40146,"Iowa","Plains","Private not-for-profit",2743,59,30,68,2,47,100
"403",403,"Simpson College","Master's degree",-93.563471,41.365503,1302,1146,377,NA,NA,NA,NA,21,27,88,30999,43350,43350,"Iowa","Plains","Private not-for-profit",1712,56,81,18,0,55,100
"404",404,"Upper Iowa University","Master's degree",-91.799663,42.840293,1229,715,218,NA,NA,NA,NA,19,24,58,24400,35910,35910,"Iowa","Plains","Private not-for-profit",4632,60,NA,NA,NA,24,85
"405",405,"Wartburg College","Bachelor's degree",-92.480933,42.727629,2268,1761,451,380,540,440,590,21,26,78,34250,45305,45305,"Iowa","Plains","Private not-for-profit",1714,53,61,25,14,59,99
"406",406,"William Penn University","Master's degree",-92.648348,41.308868,836,482,264,380,500,380,550,17,22,58,23210,33706,33706,"Iowa","Plains","Private not-for-profit",1728,50,NA,NA,NA,17,100
"407",407,"Baker University","Doctor's degree",-95.188231,38.777278,870,756,235,440,545,490,600,21,26,87,25580,39407,39407,"Kansas","Plains","Private not-for-profit",1897,57,68,31,2,36,100
"408",408,"Benedictine College","Master's degree",-95.111424,39.572953,3515,2129,494,515,655,485,630,22,28,61,23900,37855,37855,"Kansas","Plains","Private not-for-profit",2113,52,27,70,2,43,100
"409",409,"Bethany College","Bachelor's degree",-97.673173,38.5786,1139,670,184,390,510,430,510,18,23,59,23305,35205,35205,"Kansas","Plains","Private not-for-profit",665,40,NA,NA,NA,27,98
"410",410,"Bethel College-North Newton","Bachelor's degree",-97.342572,38.07525,854,550,123,390,520,420,580,19,26,64,23500,35170,35170,"Kansas","Plains","Private not-for-profit",482,51,47,51,2,39,100
"411",411,"Central Christian College of Kansas","Bachelor's degree",-97.667373,38.357964,662,334,131,390,490,440,530,18,24,50,14800,24500,24500,"Kansas","Plains","Private not-for-profit",1037,49,NA,NA,NA,27,93
"412",412,"Donnelly College","Bachelor's degree",-94.65103,39.112227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6579,16833,16833,"Kansas","Plains","Private not-for-profit",474,69,NA,NA,NA,NA,92
"413",413,"Emporia State University","Doctor's degree",-96.179454,38.412583,2452,1488,696,438,528,475,545,19,25,61,5614,17257,29031,"Kansas","Plains","Public",3873,60,88,7,0,20,96
"414",414,"Fort Hays State University","Master's degree",-99.340493,38.872436,2511,2239,1063,NA,NA,NA,NA,18,24,89,4358,16410,24873,"Kansas","Plains","Public",11433,59,70,29,1,19,97
"415",415,"Friends University","Master's degree",-97.366666,37.678495,737,432,184,350,490,420,548,18,24,59,23430,36005,36005,"Kansas","Plains","Private not-for-profit",1609,56,NA,NA,NA,13,100
"416",416,"University of Kansas","Doctor's degree",-95.24587,38.957351,12389,11433,3771,NA,NA,NA,NA,22,28,92,10107,22277,37043,"Kansas","Plains","Public",19217,50,64,33,3,36,79
"417",417,"Newman University","Master's degree",-97.378803,37.672306,2348,1050,165,460,610,420,530,20,27,45,23650,34408,34408,"Kansas","Plains","Private not-for-profit",2795,62,NA,NA,NA,33,99
"418",418,"Kansas State University","Doctor's degree",-96.581077,39.188616,9839,9437,3821,NA,NA,NA,NA,NA,NA,96,8585,21331,34276,"Kansas","Plains","Public",20169,48,79,18,3,26,83
"419",419,"Kansas Wesleyan University","Master's degree",-97.609476,38.813923,689,370,151,420,510,470,520,20,24,54,23800,36400,36400,"Kansas","Plains","Private not-for-profit",684,54,51,46,3,31,99
"420",420,"McPherson College","Master's degree",-97.6443,38.371464,642,556,170,475,540,500,560,19,24,87,22891,35477,35477,"Kansas","Plains","Private not-for-profit",637,41,54,45,1,43,95
"421",421,"MidAmerica Nazarene University","Master's degree",-94.782586,38.872608,1012,731,198,420,540,420,510,19,21,72,22290,33687,33687,"Kansas","Plains","Private not-for-profit",1438,61,NA,NA,NA,41,99
"422",422,"Ottawa University-Ottawa","Master's degree",-95.263776,38.602899,267,264,145,390,530,400,550,19,25,99,23964,36482,36482,"Kansas","Plains","Private not-for-profit",538,44,61,39,1,22,100
"423",423,"Ottawa University-Kansas City","Master's degree",-94.68937,38.930925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kansas","Plains","Private not-for-profit",292,72,100,0,0,NA,NA
"424",424,"Pittsburg State University","Master's degree",-94.704782,37.3913,3073,2427,1144,NA,NA,NA,NA,19,24,79,5906,17296,27176,"Kansas","Plains","Public",6236,48,69,30,0,24,91
"425",425,"University of Saint Mary","Doctor's degree",-94.906935,39.277308,767,361,109,410,500,440,520,19,24,47,23170,34536,34536,"Kansas","Plains","Private not-for-profit",890,65,NA,NA,NA,44,100
"426",426,"Southwestern College","Doctor's degree",-96.9783,37.2493,436,391,128,398,548,458,548,20,25,90,23886,37632,37632,"Kansas","Plains","Private not-for-profit",1358,43,41,51,9,42,100
"427",427,"Sterling College","Bachelor's degree",-98.209966,38.219783,883,389,169,460,540,410,500,19,25,44,21200,30652,30652,"Kansas","Plains","Private not-for-profit",690,46,55,45,0,30,100
"428",428,"Tabor College","Master's degree",-97.20096,38.348606,517,380,159,400,510,420,530,18,27,74,22730,36750,36750,"Kansas","Plains","Private not-for-profit",725,48,NA,NA,NA,45,100
"429",429,"Washburn University","Doctor's degree",-95.702325,39.034977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5774,17403,24555,"Kansas","Plains","Public",6179,59,91,6,1,17,92
"430",430,"Wichita State University","Doctor's degree",-97.296733,37.716484,3492,3344,1412,460,590,477,622,21,26,96,6926,17397,25431,"Kansas","Plains","Public",11670,52,88,6,0,22,89
"431",431,"Alice Lloyd College","Bachelor's degree",-82.875068,37.335087,3656,1646,189,470,500,450,540,18,24,45,10620,21800,21800,"Kentucky","Southeast","Private not-for-profit",631,54,72,28,1,21,100
"432",432,"Asbury University","Master's degree",-84.662606,37.862029,1211,796,322,500,620,508,620,21,27,66,26076,35494,35494,"Kentucky","Southeast","Private not-for-profit",1547,60,50,46,0,56,99
"433",433,"Bellarmine University","Doctor's degree",-85.7049,38.219138,4160,3943,676,490,590,490,590,22,27,95,34890,52574,52574,"Kentucky","Southeast","Private not-for-profit",2593,64,62,37,1,53,100
"434",434,"Berea College","Bachelor's degree",-84.289332,37.573334,1620,551,397,510,630,513,610,22,26,34,23170,31870,31870,"Kentucky","Southeast","Private not-for-profit",1623,57,42,51,7,47,100
"435",435,"Brescia University","Master's degree",-87.111533,37.768989,3582,1612,150,NA,NA,460,550,19,24,45,19640,30390,30390,"Kentucky","Southeast","Private not-for-profit",928,72,NA,NA,NA,16,100
"436",436,"Campbellsville University","Master's degree",-85.348943,37.343342,2649,1813,525,420,505,400,525,18,24,68,22196,33628,33628,"Kentucky","Southeast","Private not-for-profit",3048,58,NA,NA,NA,28,95
"437",437,"Centre College","Bachelor's degree",-84.779175,37.645102,2533,1737,377,550,670,560,680,26,31,69,36020,48020,48020,"Kentucky","Southeast","Private not-for-profit",1381,51,NA,NA,NA,80,97
"438",438,"University of the Cumberlands","Doctor's degree",-84.162375,36.736489,2527,1801,488,420,520,440,530,19,25,71,20000,33500,33500,"Kentucky","Southeast","Private not-for-profit",2096,50,57,38,5,24,100
"439",439,"Eastern Kentucky University","Doctor's degree",-84.301356,37.740396,9932,5961,2306,440,560,450,550,19,24,60,7536,18960,28032,"Kentucky","Southeast","Public",13891,56,88,11,1,18,97
"440",440,"Georgetown College","Master's degree",-84.554583,38.207934,1735,1426,238,410,610,460,560,21,26,82,32310,44110,44110,"Kentucky","Southeast","Private not-for-profit",1043,54,NA,NA,NA,49,98
"441",441,"Kentucky State University","Master's degree",-84.855488,38.201056,6399,2415,506,350,450,323,448,16,20,38,6276,17506,26302,"Kentucky","Southeast","Public",2370,59,38,62,0,7,89
"442",442,"Kentucky Wesleyan College","Bachelor's degree",-87.121984,37.744667,1006,675,163,440,540,410,555,19,25,67,21200,32190,32190,"Kentucky","Southeast","Private not-for-profit",657,48,NA,NA,NA,25,100
"443",443,"University of Kentucky","Doctor's degree",-84.509177,38.032393,19810,13592,4702,490,610,500,630,22,28,69,10110,23732,34814,"Kentucky","Southeast","Public",21441,51,68,30,2,34,93
"444",444,"Kentucky Christian University","Master's degree",-82.946883,38.339002,590,303,135,360,510,400,550,18,24,51,17418,30256,30256,"Kentucky","Southeast","Private not-for-profit",559,46,NA,NA,NA,18,100
"445",445,"Lindsey Wilson College","Master's degree",-85.299909,37.101853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22070,36613,36613,"Kentucky","Southeast","Private not-for-profit",2200,59,NA,NA,NA,15,100
"446",446,"University of Louisville","Doctor's degree",-85.758843,38.215752,9166,6519,2857,470,580,510,610,22,28,71,9946,22796,36684,"Kentucky","Southeast","Public",15954,51,NA,NA,NA,25,97
"447",447,"Mid-Continent University","Master's degree",-88.648361,36.815418,458,322,201,350,500,370,500,15,24,70,8673,26041,26041,"Kentucky","Southeast","Private not-for-profit",2154,65,NA,NA,NA,5,95
"448",448,"Midway College","Master's degree",-84.679335,38.144432,446,240,115,490,610,430,570,19,25,54,22150,37650,37650,"Kentucky","Southeast","Private not-for-profit",1247,81,NA,NA,NA,34,100
"449",449,"Morehead State University","Doctor's degree",-83.429742,38.188462,5230,4419,1649,420,545,455,570,19,25,84,7498,18851,30099,"Kentucky","Southeast","Public",10076,61,85,14,0,22,99
"450",450,"Murray State University","Doctor's degree",-88.323493,36.61241,4576,3760,1626,430,520,440,540,19,25,82,7044,18898,31018,"Kentucky","Southeast","Public",9172,58,60,36,4,29,99
"451",451,"Northern Kentucky University","Doctor's degree",-84.465959,39.029221,7064,3299,2107,440,560,430,550,19,25,47,8376,19186,27274,"Kentucky","Southeast","Public",12794,55,63,37,1,14,95
"452",452,"University of Pikeville","Doctor's degree",-82.520265,37.478835,1804,1804,386,390,500,380,510,16,22,100,17750,33750,33750,"Kentucky","Southeast","Private not-for-profit",1738,53,84,13,3,16,100
"453",453,"Saint Catharine College","Master's degree",-85.261372,37.708833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18106,34726,34726,"Kentucky","Southeast","Private not-for-profit",748,65,NA,NA,NA,18,99
"454",454,"Spalding University","Doctor's degree",-85.75905,38.241815,1094,887,402,440,520,440,525,18,22,81,22425,37439,37439,"Kentucky","Southeast","Private not-for-profit",1371,70,79,19,2,18,99
"455",455,"Thomas More College","Master's degree",-84.568923,39.022963,1053,924,264,430,520,430,560,20,25,88,27345,38621,38621,"Kentucky","Southeast","Private not-for-profit",1502,52,45,54,0,42,100
"456",456,"Transylvania University","Bachelor's degree",-84.493883,38.053236,1326,1275,294,520,660,510,630,24,30,96,31560,43640,43640,"Kentucky","Southeast","Private not-for-profit",1082,57,NA,NA,NA,67,100
"457",457,"Union College","Master's degree",-83.887982,36.869066,1424,1056,242,460,563,417,513,19,24,74,22000,33740,33740,"Kentucky","Southeast","Private not-for-profit",818,49,NA,NA,NA,16,100
"458",458,"Western Kentucky University","Doctor's degree",-86.455898,36.985718,8526,7871,3375,410,580,420,570,18,25,92,8722,18822,32348,"Kentucky","Southeast","Public",17509,57,73,21,6,25,93
"459",459,"Centenary College of Louisiana","Master's degree",-93.731518,32.483004,670,442,128,480,585,495,600,22,28,66,30740,44600,44600,"Louisiana","Southeast","Private not-for-profit",586,56,NA,NA,NA,49,100
"460",460,"Dillard University","Bachelor's degree",-90.065348,29.996468,4726,1675,229,400,470,370,480,17,20,35,16094,30358,30358,"Louisiana","Southeast","Private not-for-profit",1183,71,62,38,0,5,99
"461",461,"Grambling State University","Doctor's degree",-92.717367,32.522702,4545,1983,714,380,480,360,440,16,20,44,5950,22720,31888,"Louisiana","Southeast","Public",4155,60,70,29,1,7,96
"462",462,"Louisiana State University-Alexandria","Bachelor's degree",-92.414409,31.178616,1080,656,391,NA,NA,NA,NA,18,22,61,5337,17013,21658,"Louisiana","Southeast","Public",2211,70,NA,NA,NA,7,92
"463",463,"Louisiana State University and Agricultural & Mechanical College","Doctor's degree",-91.196656,30.552111,16169,12326,5725,500,620,520,630,23,28,76,7873,23227,41144,"Louisiana","Southeast","Public",24923,52,82,17,1,38,93
"464",464,"Louisiana State University-Shreveport","Master's degree",-93.703762,32.428768,539,450,345,440,510,520,540,20,24,83,5606,NA,NA,"Louisiana","Southeast","Public",3674,59,NA,NA,NA,15,94
"465",465,"Louisiana College","Master's degree",-92.425567,31.322286,904,671,266,410,460,430,500,18,23,74,14120,23390,23390,"Louisiana","Southeast","Private not-for-profit",1116,48,NA,NA,NA,29,96
"466",466,"Louisiana Tech University","Doctor's degree",-92.64964,32.525518,5077,3424,1552,450,590,490,600,21,26,67,7302,18927,30066,"Louisiana","Southeast","Public",9245,47,83,15,2,29,94
"467",467,"Loyola University New Orleans","Doctor's degree",-90.120417,29.936141,4827,4203,624,520,640,510,610,22,28,87,36860,51760,51760,"Louisiana","Southeast","Private not-for-profit",2946,59,NA,NA,NA,44,98
"468",468,"McNeese State University","Master's degree",-93.215648,30.180762,3624,2229,1313,450,550,490,560,20,24,62,5701,17759,28661,"Louisiana","Southeast","Public",7575,62,89,8,3,13,95
"469",469,"University of New Orleans","Doctor's degree",-90.068506,30.028539,3197,1610,860,470,590,490,620,21,25,50,6578,19825,32315,"Louisiana","Southeast","Public",7144,50,87,8,5,13,90
"470",470,"Nicholls State University","Master's degree",-90.802906,29.792689,2404,2090,1243,437,537,482,607,20,24,87,6468,19180,28671,"Louisiana","Southeast","Public",5888,62,94,5,1,19,95
"471",471,"University of Louisiana at Monroe","Doctor's degree",-92.073855,32.527957,3454,2668,1325,NA,NA,480,640,20,25,77,6318,17250,27822,"Louisiana","Southeast","Public",7276,63,90,7,3,19,96
"472",472,"Northwestern State University of Louisiana","Master's degree",-93.097715,31.750675,2812,2362,1231,430,518,443,550,19,24,84,6207,18436,28556,"Louisiana","Southeast","Public",7836,68,89,10,1,19,95
"473",473,"Our Lady of Holy Cross College","Master's degree",-89.997055,29.912539,163,79,59,NA,NA,NA,NA,NA,NA,48,9950,NA,NA,"Louisiana","Southeast","Private not-for-profit",878,83,100,0,0,5,81
"474",474,"Southeastern Louisiana University","Doctor's degree",-90.468558,30.51358,7657,3430,2565,NA,NA,NA,NA,20,24,45,5715,17149,29168,"Louisiana","Southeast","Public",13730,60,96,2,2,13,93
"475",475,"Southern University and A & M College","Doctor's degree",-91.190105,30.524558,3721,1336,781,NA,NA,400,520,17,20,36,6630,18882,20526,"Louisiana","Southeast","Public",5746,63,NA,NA,NA,8,98
"476",476,"Southern University at New Orleans","Master's degree",-90.044379,30.02669,1563,764,684,420,650,420,640,15,18,49,4911,16191,16191,"Louisiana","Southeast","Public",1809,75,NA,NA,NA,4,58
"477",477,"University of Louisiana at Lafayette","Doctor's degree",-92.01941,30.215283,8506,5044,2693,NA,NA,490,600,21,25,59,6192,19035,28585,"Louisiana","Southeast","Public",15053,55,93,5,2,13,94
"478",478,"Tulane University of Louisiana","Doctor's degree",-90.120409,29.939696,30122,7961,1609,620,700,620,700,29,32,26,46930,61178,61178,"Louisiana","Southeast","Private not-for-profit",8290,58,11,86,2,62,79
"479",479,"Xavier University of Louisiana","Doctor's degree",-90.107307,29.964162,4703,2560,675,440,560,420,550,20,26,54,20560,31501,31501,"Louisiana","Southeast","Private not-for-profit",2504,71,NA,NA,NA,27,99
"480",480,"College of the Atlantic","Master's degree",-68.228849,44.399584,452,333,104,NA,NA,NA,NA,NA,NA,74,38952,49890,49890,"Maine","New England","Private not-for-profit",362,67,NA,NA,NA,56,100
"481",481,"Bates College","Bachelor's degree",-70.203333,44.105299,5243,1267,500,NA,NA,NA,NA,NA,NA,24,45650,61000,61000,"Maine","New England","Private not-for-profit",1791,50,9,83,7,88,43
"482",482,"Bowdoin College","Bachelor's degree",-69.965165,43.906969,7052,1054,497,680,760,680,750,30,33,15,45446,59900,59900,"Maine","New England","Private not-for-profit",1795,50,10,83,7,88,50
"483",483,"Colby College","Bachelor's degree",-69.66337,44.564211,5407,1408,483,620,710,640,720,28,32,26,45760,59110,59110,"Maine","New England","Private not-for-profit",1820,52,12,74,14,89,47
"484",484,"Husson University","Doctor's degree",-68.791323,44.828888,1581,1263,444,420,530,430,550,17,21,80,15130,26286,26286,"Maine","New England","Private not-for-profit",2350,59,NA,NA,NA,25,79
"485",485,"University of Maine at Augusta","Bachelor's degree",-69.796396,44.337746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7500,NA,NA,"Maine","New England","Public",4770,71,98,2,0,3,89
"486",486,"University of Maine at Farmington","Master's degree",-70.147469,44.668,1638,1371,439,NA,NA,NA,NA,NA,NA,84,9167,21425,30513,"Maine","New England","Public",1901,66,NA,NA,NA,38,96
"487",487,"University of Maine at Fort Kent","Bachelor's degree",-68.588364,47.250306,464,292,162,400,500,410,500,18,27,63,7575,18795,28755,"Maine","New England","Public",1209,71,86,7,7,36,97
"488",488,"University of Maine at Machias","Bachelor's degree",-67.456534,44.709895,452,386,104,410,530,410,520,18,25,85,7490,18968,30848,"Maine","New England","Public",892,70,77,22,1,14,98
"489",489,"University of Maine","Doctor's degree",-68.673839,44.895966,8306,6733,1997,480,590,490,610,21,26,81,10600,23712,41082,"Maine","New England","Public",9182,48,69,29,2,36,93
"490",490,"Maine Maritime Academy","Master's degree",-68.803214,44.3873,791,517,225,440,550,480,580,20,24,65,11950,24098,34918,"Maine","New England","Public",994,13,NA,NA,NA,53,72
"491",491,"University of Maine at Presque Isle","Bachelor's degree",-68.016516,46.672377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7300,18276,28236,"Maine","New England","Public",1263,63,NA,NA,NA,15,99
"492",492,"University of New England","Doctor's degree",-70.385882,43.458172,4231,3632,633,470,570,480,580,21,26,86,33145,50295,50295,"Maine","New England","Private not-for-profit",2653,71,NA,NA,NA,49,100
"493",493,"Saint Joseph's College of Maine","Master's degree",-70.483486,43.82651,1580,1229,290,430,520,440,530,NA,NA,78,30990,45790,45790,"Maine","New England","Private not-for-profit",1276,67,NA,NA,NA,49,98
"494",494,"University of Southern Maine","Doctor's degree",-70.276002,43.662637,3902,3231,868,450,550,440,560,20,25,83,8920,24062,36422,"Maine","New England","Public",7098,57,82,18,0,10,93
"495",495,"Thomas College","Master's degree",-69.662923,44.524046,1074,778,269,390,490,400,510,16,21,72,22770,35494,35494,"Maine","New England","Private not-for-profit",1339,52,NA,NA,NA,35,98
"496",496,"Unity College","Bachelor's degree",-69.332276,44.603165,519,461,146,NA,NA,NA,NA,NA,NA,89,25000,35864,35864,"Maine","New England","Private not-for-profit",553,51,NA,NA,NA,45,99
"497",497,"University of Baltimore","Doctor's degree",-76.616591,39.305834,695,507,251,430,530,410,510,NA,NA,73,7838,NA,NA,"Maryland","Mid East","Public",3526,57,NA,NA,NA,23,95
"498",498,"Bowie State University","Doctor's degree",-76.759721,39.018185,3986,2063,627,410,490,400,470,17,20,52,6971,20107,30674,"Maryland","Mid East","Public",4358,62,NA,NA,NA,13,90
"499",499,"Washington Adventist University","Master's degree",-77.00131,38.987206,1455,476,134,NA,NA,NA,NA,NA,NA,33,21020,31220,31220,"Maryland","Mid East","Private not-for-profit",1011,65,NA,NA,NA,17,98
"500",500,"Coppin State University","Doctor's degree",-76.658547,39.310786,5980,2123,446,410,480,400,470,NA,NA,36,6252,19091,24025,"Maryland","Mid East","Public",2920,74,NA,NA,NA,4,95
"501",501,"Frostburg State University","Doctor's degree",-78.933871,39.651509,3872,2302,895,430,530,430,540,18,22,59,7728,20046,30694,"Maryland","Mid East","Public",4703,49,92,7,1,22,83
"502",502,"Goucher College","Master's degree",-76.594843,39.410175,3615,2593,410,NA,NA,NA,NA,NA,NA,72,39084,52908,52908,"Maryland","Mid East","Private not-for-profit",1449,66,NA,NA,NA,59,91
"503",503,"Hood College","Master's degree",-77.419282,39.421908,1686,1366,281,450,580,460,580,18,25,81,33280,48830,48830,"Maryland","Mid East","Private not-for-profit",1388,66,64,33,3,55,98
"504",504,"Johns Hopkins University","Doctor's degree",-76.620799,39.32838,21336,3869,1390,650,740,670,770,30,34,18,45470,61502,61502,"Maryland","Mid East","Private not-for-profit",6117,51,NA,NA,NA,87,61
"505",505,"Loyola University Maryland","Doctor's degree",-76.623417,39.346044,13604,7891,1096,540,627,560,640,25,29,58,43250,58578,58578,"Maryland","Mid East","Private not-for-profit",4004,59,NA,NA,NA,79,81
"506",506,"University of Maryland-University College","Doctor's degree",-76.954104,38.986299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6552,NA,NA,"Maryland","Mid East","Public",26740,49,NA,NA,NA,1,77
"507",507,"University of Maryland-Baltimore County","Doctor's degree",-76.711607,39.256686,9755,6160,1657,540,640,570,670,24,29,63,10068,24762,36336,"Maryland","Mid East","Public",11136,45,89,6,4,37,77
"508",508,"University of Maryland-College Park","Doctor's degree",-76.939704,38.988607,26247,12333,4020,580,690,620,730,NA,NA,47,9162,23734,42920,"Maryland","Mid East","Public",26658,47,NA,NA,NA,66,73
"509",509,"University of Maryland Eastern Shore","Doctor's degree",-75.687227,38.211188,4073,2241,610,400,480,390,480,16,19,55,6998,21454,29960,"Maryland","Mid East","Public",3530,55,NA,NA,NA,13,93
"510",510,"Morgan State University","Doctor's degree",-76.584238,39.344235,4801,2764,899,410,490,410,490,16,19,58,7218,22269,31683,"Maryland","Mid East","Public",6252,55,NA,NA,NA,11,95
"511",511,"Mount St Mary's University","Master's degree",-77.35222,39.680632,4943,3332,429,500,600,490,580,17,23,67,34644,48858,48858,"Maryland","Mid East","Private not-for-profit",1741,55,NA,NA,NA,61,100
"512",512,"Notre Dame of Maryland University","Doctor's degree",-76.619701,39.351307,838,416,104,470,590,460,560,20,23,50,32050,45650,45650,"Maryland","Mid East","Private not-for-profit",1234,95,NA,NA,NA,45,99
"513",513,"Salisbury University","Doctor's degree",-75.605705,38.345447,8912,4896,1246,540,610,540,620,22,26,55,8128,22368,30714,"Maryland","Mid East","Public",8004,57,NA,NA,NA,47,88
"514",514,"St Mary's College of Maryland","Master's degree",-76.425706,38.188615,1985,1430,419,570,670,540,650,25,30,72,14864,29599,43399,"Maryland","Mid East","Public",1819,59,NA,NA,NA,71,72
"515",515,"Sojourner-Douglass College","Master's degree",-76.598191,39.296333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9830,NA,NA,"Maryland","Mid East","Private not-for-profit",1037,89,NA,NA,NA,10,93
